ts(Global),ts(GNSS),ts(GNSS time),LLH(latitude),LLH(longitude),LLH(altitude),GNSS_qual,GNSS_age,TM(north),TM(east),Heading(GPS),ts(bucket - MC),bucket_x,bucket_y,bucket_z,slope_boom,slope_arm,slope_bucket,swing_angle,track_angle,body_roll,body_pitch,ts(Engine),rpm,fuel_consumption_rate,ts(pressure),p_boom_up,p_boom_down,p_arm_in,p_arm_out,p_bkt_in,p_bkt_out,p_swing_left,p_swing_right,p_pilot_boom_up,p_pilot_boom_down,p_pilot_arm_in,p_pilot_arm_out,p_pilot_bkt_in,p_pilot_bkt_out,p_pilot_swing_left,p_pilot_swing_right,ts(pc),laz_file_name,ts(svo_cam),ts_svo_cam,svo_timestamp,
152831.971567, 3.149131111, 20260310-15:28:31-950000, 35.93917364, 126.54887128666667, 6.731100000000001, 4, 2.0, 371392278.2842, 159294206.5632, 268.041, 3.16338088, -173.11, 5784.88, -734.10, 39.114, -102.006, -45.000, 91.986, -2.100, 0.226, 0.825, 3.196743716, 1350.5, 20.450, 0.0, 133.20, 1.20, 31.20, 136.20, 30.60, 71.40, 6.60, 6.00, 1.000, 217.000, 0.000, 207.000, 3.000, 84.000, 1.000, 0.000, 3.182254163, pc_20260310_152831_951.laz, 3.196003503, 20260310-152831.961472, 1773124111863439000
152832.071322, 3.250063805, 20260310-15:28:32-050000, 35.93917365666667, 126.54887130666667, 6.726700000000005, 4, 2.0, 371392280.0619, 159294208.5502, 267.973, 3.263369359, -177.70, 5917.18, -824.28, 37.962, -100.168, -44.985, 91.982, -2.100, 0.228, 0.826, 3.296556059, 1349.0, 22.950, 0.0, 129.00, 1.20, 31.80, 138.00, 30.00, 74.40, 7.20, 6.60, 0.000, 217.000, 4.000, 210.000, 3.000, 81.000, 0.000, 1.000, 3.28159324, pc_20260310_152832_050.laz, 3.296089005, 20260310-152832.061531, 1773124111963447000
152832.171299, 3.348729272, 20260310-15:28:32-150000, 35.93917365, 126.54887131666666, 6.726200000000002, 4, 2.2, 371392279.2873, 159294209.5502, 267.974, 3.363327025, -182.67, 6056.14, -912.68, 36.811, -98.226, -44.959, 91.980, -2.100, 0.231, 0.818, 3.396698043, 1345.0, 25.800, 0.0, 125.40, 1.20, 33.00, 140.40, 31.80, 77.40, 7.20, 6.60, 1.000, 219.000, 0.000, 211.000, 0.000, 80.000, 0.000, 4.000, 3.381018845, pc_20260310_152832_149.laz, 3.392552418, 20260310-152832.158037, 1773124112063448000
152832.271308, 3.4484423509999997, 20260310-15:28:32-250000, 35.939173661666665, 126.54887131333334, 6.723200000000002, 4, 1.3, 371392280.5111, 159294209.4249, 268.003, 3.4633648360000002, -187.59, 6199.18, -1001.92, 35.672, -96.209, -44.916, 91.976, -2.100, 0.231, 0.834, 3.497378059, 1345.5, 24.500, 0.0, 124.80, 1.80, 33.60, 139.80, 34.20, 81.00, 7.20, 6.60, 0.000, 213.000, 0.000, 211.000, 0.000, 82.000, 2.000, 0.000, 3.482695175, pc_20260310_152832_251.laz, 3.495919872, 20260310-152832.261386, 1773124112163562000
152832.371462, 3.549855997, 20260310-15:28:32-350000, 35.939173665, 126.54887130833333, 6.721600000000002, 4, 1.4, 371392280.8226, 159294209.1424, 267.998, 3.563394047, -192.32, 6338.85, -1091.80, 34.521, -94.210, -44.863, 91.973, -2.100, 0.228, 0.837, 3.596983963, 1355.0, 25.250, 0.0, 126.60, 1.20, 33.60, 140.40, 36.00, 85.20, 7.20, 6.60, 2.000, 210.000, 3.000, 211.000, 1.000, 85.000, 3.000, 0.000, 3.581531756, pc_20260310_152832_350.laz, 3.594513428, 20260310-152832.359996, 1773124112263435000
152832.471532, 3.648847037, 20260310-15:28:32-450000, 35.93917364666667, 126.54887130666667, 6.7227, 4, 1.5, 371392278.7364, 159294209.1157, 268.036, 3.663323258, -197.21, 6477.84, -1180.31, 33.380, -92.181, -44.841, 91.970, -2.100, 0.232, 0.843, 3.696672654, 1352.0, 24.550, 0.0, 129.60, 1.80, 33.60, 142.20, 38.40, 90.60, 7.80, 7.20, 0.000, 210.000, 2.000, 209.000, 3.000, 87.000, 4.000, 3.000, 3.680775107, pc_20260310_152832_448.laz, 3.693617142, 20260310-152832.459094, 1773124112363528000
152832.571446, 3.748898687, 20260310-15:28:32-550000, 35.93917366, 126.54887132166667, 6.726400000000002, 4, 1.5, 371392280.1300, 159294210.6975, 268.092, 3.763326232, -201.78, 6615.40, -1265.58, 32.269, -90.159, -44.794, 91.966, -2.100, 0.233, 0.844, 3.796841807, 1355.5, 25.300, 0.0, 131.40, 1.80, 33.60, 142.20, 41.40, 96.00, 7.80, 7.20, 2.000, 209.000, 0.000, 208.000, 1.000, 82.000, 4.000, 0.000, 3.7809040449999998, pc_20260310_152832_548.laz, 3.798784104, 20260310-152832.564258, 1773124112463430000
152832.670614, 3.8489305209999998, 20260310-15:28:32-650000, 35.93917364833333, 126.54887131666666, 6.725900000000003, 4, 1.6, 371392278.7846, 159294210.3702, 268.044, 3.863359731, -206.39, 6748.96, -1346.67, 31.205, -88.163, -44.768, 91.963, -2.100, 0.234, 0.852, 3.896771465, 1359.0, 24.650, 0.0, 132.00, 1.80, 33.60, 143.40, 44.40, 101.40, 7.80, 7.20, 1.000, 211.000, 0.000, 208.000, 0.000, 81.000, 4.000, 0.000, 3.88109275, pc_20260310_152832_649.laz, 3.893585165, 20260310-152832.659085, 1773124112563442000
152832.771076, 3.94875134, 20260310-15:28:32-750000, 35.939173645, 126.54887130833333, 6.725900000000003, 4, 1.8, 371392278.3673, 159294209.7626, 268.044, 3.963309967, -211.02, 6884.68, -1430.55, 30.060, -85.990, -44.974, 91.960, -2.100, 0.234, 0.851, 3.997158225, 1356.5, 24.450, 0.0, 131.40, 1.80, 33.60, 144.00, 47.40, 107.40, 8.40, 7.80, 2.000, 207.000, 3.000, 209.000, 3.000, 84.000, 3.000, 4.000, 3.981174622, pc_20260310_152832_749.laz, 3.993630986, 20260310-152832.759084, 1773124112663445000
152832.871640, 4.048552868, 20260310-15:28:32-850000, 35.93917363333333, 126.5488713, 6.727300000000003, 4, 1.9, 371392277.0285, 159294209.1401, 268.067, 4.063304102, -215.33, 7008.19, -1500.20, 29.139, -84.226, -44.684, 91.957, -2.100, 0.241, 0.848, 4.098078984, 1359.0, 24.650, 0.0, 130.80, 1.80, 33.60, 144.00, 50.40, 112.80, 8.40, 7.80, 2.000, 208.000, 0.000, 207.000, 2.000, 83.000, 3.000, 0.000, 4.080851634, pc_20260310_152832_849.laz, 4.094379484, 20260310-152832.859836, 1773124112763677000
